committee,date,alderman,status
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Moore, Joseph",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Osterman, Harry",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Hairston, Leslie A.",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Austin, Carrie M.",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Colon, Rey",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Tunney, Thomas",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Solis, Daniel",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Cappleman, James",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Harris, Michelle A.",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Munoz, Ricardo",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Smith, Michele",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Brookins, Jr., Howard",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Mell, Richard F.",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Graham, Deborah L.",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Pope, John",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Foulkes, Toni",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Fioretti, Bob",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Cochran, Willie",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Suarez, Regner Ray",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Beale, Anthony",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Quinn, Marty",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"O'Shea, Matthew J.",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Cullerton, Timothy M.",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Balcer, James",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"O'Connor, Mary",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Sposato, Nicholas",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Silverstein, Debra L.",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Laurino, Margaret",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Waguespack, Scott",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Arena, John",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Lane, Lona",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Zalewski, Michael R.",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Maldonado, Roberto",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Reilly, Brendan",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"O'Connor, Patrick",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Ervin, Jason C.",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Chandler, Michael D.",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Mitts, Emma",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Dowell, Pat",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Pawar, Ameya",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Burnett, Jr., Walter",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Reboyras, Ariel",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Holmes, Natashia",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Sawyer, Roderick T.",1
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Moreno, Proco Joe",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Burns, William D.",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Thomas, Latasha R.",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Cardenas, George A.",0
"Committee on Committees, Rules and Ethics",4/24/13 0:00,"Thompson, JoAnn",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Burke, Edward M.",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Moore, Joseph",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Osterman, Harry",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Hairston, Leslie A.",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Austin, Carrie M.",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Colon, Rey",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Tunney, Thomas",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Solis, Daniel",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Cappleman, James",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Harris, Michelle A.",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Munoz, Ricardo",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"O'Connor, Mary",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Brookins, Jr., Howard",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Sposato, Nicholas",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Pope, John",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Foulkes, Toni",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Fioretti, Bob",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Cochran, Willie",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Suarez, Regner Ray",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Beale, Anthony",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Quinn, Marty",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"O'Shea, Matthew J.",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Cullerton, Timothy M.",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Sawyer, Roderick T.",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Balcer, James",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Smith, Michele",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Graham, Deborah L.",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Silverstein, Debra L.",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Laurino, Margaret",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Waguespack, Scott",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Arena, John",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Mell, Deborah",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Lane, Lona",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Zalewski, Michael R.",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Maldonado, Roberto",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Reilly, Brendan",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"O'Connor, Patrick",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Ervin, Jason C.",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Mitts, Emma",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Chandler, Michael D.",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Dowell, Pat",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Pawar, Ameya",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Burnett, Jr., Walter",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Reboyras, Ariel",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Holmes, Natashia",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Moreno, Proco Joe",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Burns, William D.",1
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Thomas, Latasha R.",0
"Committee on Committees, Rules and Ethics",3/17/15 0:00,"Cardenas, George A.",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Burke, Edward M.",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Moore, Joseph",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Hairston, Leslie A.",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Austin, Carrie M.",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Colon, Rey",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Tunney, Thomas",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Solis, Daniel",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Thompson, JoAnn",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Harris, Michelle A.",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Munoz, Ricardo",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Smith, Michele",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Brookins, Jr., Howard",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Mell, Richard F.",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Sposato, Nicholas",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Suarez, Regner Ray",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Foulkes, Toni",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Fioretti, Bob",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Burnett, Jr., Walter",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Jackson, Sandi",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Beale, Anthony",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Quinn, Marty",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"O'Shea, Matthew J.",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Moreno, Proco Joe",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Sawyer, Roderick T.",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Pope, John",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Balcer, James",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"O'Connor, Mary",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Graham, Deborah L.",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Silverstein, Debra L.",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Laurino, Margaret",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Pawar, Ameya",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Waguespack, Scott",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Dowell, Pat",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Lane, Lona",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Zalewski, Michael R.",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Maldonado, Roberto",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Reilly, Brendan",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"O'Connor, Patrick",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Ervin, Jason C.",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Chandler, Michael D.",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Mitts, Emma",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Arena, John",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Cardenas, George A.",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Cochran, Willie",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Reboyras, Ariel",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Smith, Ed",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Cullerton, Timothy M.",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Burns, William D.",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Thomas, Latasha R.",1
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Osterman, Harry",0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,"Cappleman, James",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Burke, Edward M.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Moore, Joseph",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Hairston, Leslie A.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Austin, Carrie M.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Mitchell, Gregory I.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Tunney, Thomas",1
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Solis, Daniel",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Cappleman, James",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Harris, Michelle A.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Munoz, Ricardo",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Brookins, Jr., Howard",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Foulkes, Toni",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Hopkins, Brian",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Cochran, Willie",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Lopez, Raymond A.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Beale, Anthony",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Taliaferro, Chris",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Quinn, Marty",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Laurino, Margaret",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"O'Shea, Matthew J.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Thompson, Patrick D.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Moreno, Proco Joe",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Curtis, Derrick G.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Smith, Michele",1
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Sposato, Nicholas",1
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Santiago, Milagros S.",1
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Silverstein, Debra L.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Ramirez-Rosa, Carlos",1
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Pawar, Ameya",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Napolitano, Anthony V.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Waguespack, Scott",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Arena, John",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Mell, Deborah",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Moore, David H.",1
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Sadlowski Garza, Susan",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Zalewski, Michael R.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Maldonado, Roberto",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Reilly, Brendan",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Villegas, Gilbert",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Scott, Jr. Michael",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"O'Connor, Patrick",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Ervin, Jason C.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Mitts, Emma",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Dowell, Pat",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Cardenas, George A.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Burnett, Jr., Walter",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Reboyras, Ariel",1
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Sawyer, Roderick T.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Burns, William D.",0
"Committee on Committees, Rules and Ethics",12/1/15 0:00,"Osterman, Harry",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Burke, Edward M.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Moore, Joseph",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Osterman, Harry",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Hairston, Leslie A.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Austin, Carrie M.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Mitchell, Gregory I.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Tunney, Thomas",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Solis, Daniel",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Cappleman, James",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Harris, Michelle A.",1
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Munoz, Ricardo",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Brookins, Jr., Howard",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Foulkes, Toni",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Hopkins, Brian",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Burnett, Jr., Walter",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Lopez, Raymond A.",1
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Beale, Anthony",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Taliaferro, Chris",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Quinn, Marty",1
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Laurino, Margaret",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"O'Shea, Matthew J.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Thompson, Patrick D.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Moreno, Proco Joe",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Curtis, Derrick G.",1
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Smith, Michele",1
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Sposato, Nicholas",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Santiago, Milagros S.",1
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Silverstein, Debra L.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Ramirez-Rosa, Carlos",1
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Napolitano, Anthony V.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Waguespack, Scott",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Dowell, Pat",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Mell, Deborah",1
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Moore, David H.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Sadlowski Garza, Susan",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Zalewski, Michael R.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Maldonado, Roberto",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Reilly, Brendan",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Villegas, Gilbert",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Scott, Jr. Michael",1
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"O'Connor, Patrick",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Ervin, Jason C.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Mitts, Emma",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Arena, John",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Pawar, Ameya",1
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Cochran, Willie",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Reboyras, Ariel",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Sawyer, Roderick T.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Burns, William D.",0
"Committee on Committees, Rules and Ethics",1/11/16 0:00,"Cardenas, George A.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Burke, Edward M.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Moore, Joseph",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Osterman, Harry",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Hairston, Leslie A.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Austin, Carrie M.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Mitchell, Gregory I.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Tunney, Thomas",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Solis, Daniel",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Cappleman, James",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Harris, Michelle A.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Munoz, Ricardo",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Brookins, Jr., Howard",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Foulkes, Toni",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Santiago, Milagros S.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Cochran, Willie",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Lopez, Raymond A.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Beale, Anthony",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Taliaferro, Chris",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Quinn, Marty",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Laurino, Margaret",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"O'Shea, Matthew J.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Thompson, Patrick D.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Moreno, Proco Joe",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Curtis, Derrick G.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Smith, Michele",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Sposato, Nicholas",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Hopkins, Brian",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Silverstein, Debra L.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Ramirez-Rosa, Carlos",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Pawar, Ameya",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Napolitano, Anthony V.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Waguespack, Scott",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Dowell, Pat",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Mell, Deborah",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Moore, David H.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Sadlowski Garza, Susan",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Zalewski, Michael R.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Maldonado, Roberto",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Reilly, Brendan",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Scott, Jr. Michael",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"O'Connor, Patrick",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Ervin, Jason C.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Mitts, Emma",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Arena, John",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"King, Sophia",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Cardenas, George A.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Burnett, Jr., Walter",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Reboyras, Ariel",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Sawyer, Roderick T.",1
"Committee on Committees, Rules and Ethics",1/17/17 0:00,"Villegas, Gilbert",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Burke, Edward M.",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Moore, Joseph",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Hairston, Leslie A.",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Austin, Carrie M.",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Colon, Rey",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Tunney, Thomas",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Solis, Daniel",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Thompson, JoAnn",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Harris, Michelle A.",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Munoz, Ricardo",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Smith, Michele",0
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Pope, John",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Mell, Richard F.",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Sposato, Nicholas",0
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Brookins, Jr., Howard",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Foulkes, Toni",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Fioretti, Bob",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Cochran, Willie",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Suarez, Regner Ray",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Jackson, Sandi",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Beale, Anthony",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Quinn, Marty",0
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"O'Shea, Matthew J.",0
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Moreno, Proco Joe",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Sawyer, Roderick T.",0
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Balcer, James",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"O'Connor, Mary",0
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Graham, Deborah L.",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Silverstein, Debra L.",0
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Laurino, Margaret",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Pawar, Ameya",0
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Waguespack, Scott",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Dowell, Pat",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Lane, Lona",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Zalewski, Michael R.",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Maldonado, Roberto",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"Reilly, Brendan",1
"Committee on Committees, Rules and Ethics",9/8/11 0:00,"O'Connor, Patrick",0
