committee,date,alderman,status
Committee on Education and Child Development,10/5/15 0:00,"Sadlowski Garza, Susan",1
Committee on Education and Child Development,10/5/15 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,10/5/15 0:00,"Scott, Jr. Michael",1
Committee on Education and Child Development,10/5/15 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,10/5/15 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,10/5/15 0:00,"Mitts, Emma",1
Committee on Education and Child Development,10/5/15 0:00,"Osterman, Harry",1
Committee on Education and Child Development,10/5/15 0:00,"Sawyer, Roderick T.",1
Committee on Education and Child Development,10/5/15 0:00,"Burns, William D.",1
Committee on Education and Child Development,10/5/15 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,9/28/11 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,9/28/11 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,9/28/11 0:00,"O'Connor, Mary",1
Committee on Education and Child Development,9/28/11 0:00,"Burnett, Jr., Walter",1
Committee on Education and Child Development,9/28/11 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,9/28/11 0:00,"Waguespack, Scott",1
Committee on Education and Child Development,9/28/11 0:00,"Beale, Anthony",1
Committee on Education and Child Development,9/28/11 0:00,"Colon, Rey",0
Committee on Education and Child Development,9/28/11 0:00,"Dowell, Pat",0
Committee on Education and Child Development,9/28/11 0:00,"Solis, Daniel",0
Committee on Education and Child Development,9/28/11 0:00,"Sawyer, Roderick T.",1
Committee on Education and Child Development,9/28/11 0:00,"Munoz, Ricardo",0
Committee on Education and Child Development,9/28/11 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,9/28/11 0:00,"Thomas, Latasha R.",0
Committee on Education and Child Development,9/28/11 0:00,"Osterman, Harry",0
Committee on Education and Child Development,9/28/11 0:00,"Moreno, Proco Joe",0
Committee on Education and Child Development,9/28/11 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,12/1/14 0:00,"O'Connor, Patrick",1
Committee on Education and Child Development,12/1/14 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,12/1/14 0:00,"O'Connor, Mary",1
Committee on Education and Child Development,12/1/14 0:00,"Burnett, Jr., Walter",1
Committee on Education and Child Development,12/1/14 0:00,"Mell, Deborah",1
Committee on Education and Child Development,12/1/14 0:00,"Cardenas, George A.",1
Committee on Education and Child Development,12/1/14 0:00,"Colon, Rey",1
Committee on Education and Child Development,12/1/14 0:00,"Beale, Anthony",1
Committee on Education and Child Development,12/1/14 0:00,"Waguespack, Scott",1
Committee on Education and Child Development,12/1/14 0:00,"Dowell, Pat",1
Committee on Education and Child Development,12/1/14 0:00,"Solis, Daniel",1
Committee on Education and Child Development,12/1/14 0:00,"Sawyer, Roderick T.",1
Committee on Education and Child Development,12/1/14 0:00,"Munoz, Ricardo",1
Committee on Education and Child Development,12/1/14 0:00,"Maldonado, Roberto",1
Committee on Education and Child Development,12/1/14 0:00,"Thomas, Latasha R.",1
Committee on Education and Child Development,12/1/14 0:00,"Osterman, Harry",1
Committee on Education and Child Development,12/1/14 0:00,"Moreno, Proco Joe",1
Committee on Education and Child Development,12/1/14 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,5/4/15 0:00,"O'Connor, Patrick",0
