Alderman,Committee,Start,End
"u'Cardenas, George A.'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",5/21/07,5/4/15
"u'Cardenas, George A.'",u'Joint Committee: Education and Child Development; Finance',5/21/07,5/4/15
"u'Cardenas, George A.'",u'Joint Committee: Finance; Health and Environmental Protection',5/21/07,5/4/15
"u'Cardenas, George A.'",u'Joint Committee: Finance; Housing and Real Estate',5/21/07,5/4/15
"u'Cardenas, George A.'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Cardenas, George A.'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Cardenas, George A.'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Cardenas, George A.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',5/21/07,5/4/15
"u'Cardenas, George A.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',5/21/07,5/4/15
"u'Cardenas, George A.'",u'Joint Committee: Housing and Real Estate; Human Relations',5/21/07,5/4/15
"u'Cardenas, George A.'",u'Joint Committee: License and Consumer Protection; Human Relations',5/16/11,5/4/15
"u'Cardenas, George A.'",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',5/21/07,5/4/15
"u'Chandler, Michael D.'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',5/16/11,5/4/15
"u'Chandler, Michael D.'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',5/16/11,5/4/15
"u'Chandler, Michael D.'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',5/16/11,5/4/15
"u'Chandler, Michael D.'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",5/16/11,5/4/15
"u'Chandler, Michael D.'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",5/16/11,5/4/15
"u'Chandler, Michael D.'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",5/16/11,5/4/15
"u'Chandler, Michael D.'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/16/11,5/4/15
"u'Chandler, Michael D.'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",5/16/11,5/4/15
"u'Chandler, Michael D.'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",5/16/11,5/4/15
"u'Chandler, Michael D.'",u'Joint Committee: Finance; Housing and Real Estate',5/16/11,5/4/15
"u'Chandler, Michael D.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',5/16/11,5/4/15
"u'Chandler, Michael D.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',5/16/11,5/4/15
"u'Chandler, Michael D.'",u'Joint Committee: Housing and Real Estate; Human Relations',5/16/11,5/4/15
"u'Chandler, Michael D.'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/16/11,5/4/15
"u'Chandler, Michael D.'",u'Joint Committee: Human Relations; Public Safety',5/16/11,5/4/15
"u'Chandler, Michael D.'",u'Joint Committee: License and Consumer Protection; Human Relations',5/16/11,5/4/15
"u'Chandler, Michael D.'",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',5/16/11,5/4/15
"u'Chandler, Michael D.'","u'Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards'",5/16/11,5/4/15
"u'Cochran, Willie'",u'Joint Committee: Aviation; Finance',5/21/11,5/4/15
"u'Cochran, Willie'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',5/21/11,5/4/15
"u'Cochran, Willie'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',5/21/11,5/4/15
"u'Cochran, Willie'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',5/21/11,5/4/15
"u'Cochran, Willie'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",5/21/11,5/4/15
"u'Cochran, Willie'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",5/21/11,5/4/15
"u'Cochran, Willie'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/11,5/4/15
"u'Cochran, Willie'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",5/21/11,5/4/15
"u'Cochran, Willie'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",5/21/11,5/4/15
"u'Cochran, Willie'",u'Joint Committee: Education and Child Development; Finance',5/21/11,5/4/15
"u'Cochran, Willie'",u'Joint Committee: Finance; Health and Environmental Protection',5/21/11,5/4/15
"u'Cochran, Willie'",u'Joint Committee: Finance; Housing and Real Estate',5/21/11,5/4/15
"u'Cochran, Willie'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",5/21/11,5/4/15
"u'Cochran, Willie'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Cochran, Willie'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",5/21/11,5/4/15
"u'Cochran, Willie'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',5/21/11,5/4/15
"u'Cochran, Willie'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',5/21/11,5/4/15
"u'Cochran, Willie'",u'Joint Committee: License and Consumer Protection; Human Relations',5/16/11,5/4/15
"u'Cochran, Willie'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",5/11/07,5/4/15
"u'Cochran, Willie'",u'Joint Committee: Workforce Development and Audit; Public Safety',5/16/11,5/4/15
"u'Colon, Rey'",u'Joint Committee: Aviation; Finance',5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',5/21/07,5/4/15
"u'Colon, Rey'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",5/21/07,5/4/15
"u'Colon, Rey'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",5/21/07,5/4/15
"u'Colon, Rey'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",5/21/07,5/4/15
"u'Colon, Rey'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Colon, Rey'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",5/21/07,5/4/15
"u'Colon, Rey'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: Education and Child Development; Finance',5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: Finance; Health and Environmental Protection',5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: Finance; Housing and Real Estate',5/21/07,5/4/15
"u'Colon, Rey'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Colon, Rey'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: Housing and Real Estate; Human Relations',5/21/07,5/4/15
"u'Colon, Rey'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: Human Relations; Public Safety',5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: License and Consumer Protection; Human Relations',5/16/11,5/4/15
"u'Colon, Rey'","u'Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',5/21/07,5/4/15
"u'Colon, Rey'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Colon, Rey'",u'Joint Committee: Workforce Development and Audit; Public Safety',5/16/11,5/4/15
"u'Cullerton, Timothy M.'",u'Joint Committee: Aviation; Finance',1/13/11,5/4/15
"u'Cullerton, Timothy M.'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',1/13/11,5/4/15
"u'Cullerton, Timothy M.'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',1/13/11,5/4/15
"u'Cullerton, Timothy M.'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',1/13/11,5/4/15
"u'Cullerton, Timothy M.'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",1/13/11,5/4/15
"u'Cullerton, Timothy M.'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",1/13/11,5/4/15
"u'Cullerton, Timothy M.'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",1/13/11,5/4/15
"u'Cullerton, Timothy M.'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",1/13/11,5/4/15
"u'Cullerton, Timothy M.'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",1/13/11,5/4/15
"u'Cullerton, Timothy M.'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",1/13/11,5/4/15
"u'Cullerton, Timothy M.'",u'Joint Committee: Finance; Housing and Real Estate',1/13/11,5/4/15
"u'Cullerton, Timothy M.'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Cullerton, Timothy M.'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",1/13/11,5/4/15
"u'Cullerton, Timothy M.'",u'Joint Committee: Housing and Real Estate; Human Relations',1/13/11,5/4/15
"u'Cullerton, Timothy M.'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",1/13/11,5/4/15
"u'Cullerton, Timothy M.'",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',1/13/11,5/4/15
"u'Cullerton, Timothy M.'","u'Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards'",1/13/11,5/4/15
"u'Cullerton, Timothy M.'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',1/13/11,5/4/15
"u'Cullerton, Timothy M.'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",1/13/11,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Aviation; Finance',5/21/07,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',5/21/07,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',5/21/07,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',5/21/07,5/4/15
"u'Dowell, Pat'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",5/21/07,5/4/15
"u'Dowell, Pat'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",5/21/07,5/4/15
"u'Dowell, Pat'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Education and Child Development; Finance',5/21/07,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Finance; Health and Environmental Protection',5/21/07,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Finance; Housing and Real Estate',5/21/07,5/4/15
"u'Dowell, Pat'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Dowell, Pat'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',5/21/07,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',5/21/07,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Housing and Real Estate; Human Relations',5/21/07,5/4/15
"u'Dowell, Pat'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',5/18/11,5/4/15
"u'Ervin, Jason C.'",u'Joint Committee: Aviation; Finance',1/13/11,5/4/15
"u'Ervin, Jason C.'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',1/13/11,5/4/15
"u'Ervin, Jason C.'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",1/13/11,5/4/15
"u'Ervin, Jason C.'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",1/13/11,5/4/15
"u'Ervin, Jason C.'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",1/13/11,5/4/15
"u'Ervin, Jason C.'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",1/13/11,5/4/15
"u'Ervin, Jason C.'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",1/13/11,5/4/15
"u'Ervin, Jason C.'",u'Joint Committee: Education and Child Development; Finance',1/13/11,5/4/15
"u'Ervin, Jason C.'",u'Joint Committee: Finance; Health and Environmental Protection',1/13/11,5/4/15
"u'Ervin, Jason C.'",u'Joint Committee: Finance; Housing and Real Estate',1/13/11,5/4/15
"u'Ervin, Jason C.'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",1/13/11,5/4/15
"u'Ervin, Jason C.'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Ervin, Jason C.'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",1/13/11,5/4/15
"u'Ervin, Jason C.'",u'Joint Committee: Housing and Real Estate; Human Relations',7/24/13,5/4/15
"u'Ervin, Jason C.'",u'Joint Committee: License and Consumer Protection; Human Relations',5/16/11,5/4/15
"u'Ervin, Jason C.'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',5/18/11,5/4/15
"u'Fioretti, Bob'",u'Joint Committee: Aviation; Finance',5/21/07,5/4/15
"u'Fioretti, Bob'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',5/21/07,5/4/15
"u'Fioretti, Bob'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',5/21/07,5/4/15
"u'Fioretti, Bob'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',5/21/07,5/4/15
"u'Fioretti, Bob'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",5/21/07,5/4/15
"u'Fioretti, Bob'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",5/21/07,5/4/15
"u'Fioretti, Bob'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/18/11,5/4/15
"u'Fioretti, Bob'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",5/21/07,5/4/15
"u'Fioretti, Bob'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Fioretti, Bob'",u'Joint Committee: Finance; Health and Environmental Protection',5/21/07,5/4/15
"u'Fioretti, Bob'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Fioretti, Bob'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Fioretti, Bob'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Fioretti, Bob'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',5/21/07,5/4/15
"u'Fioretti, Bob'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',5/21/07,5/4/15
"u'Fioretti, Bob'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Fioretti, Bob'",u'Joint Committee: License and Consumer Protection; Human Relations',5/16/11,5/4/15
"u'Fioretti, Bob'",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',5/21/07,5/4/15
"u'Fioretti, Bob'","u'Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Fioretti, Bob'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',5/21/07,5/4/15
"u'Fioretti, Bob'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Foulkes, Toni'",u'Joint Committee: Aviation; Finance',5/21/07,5/4/15
"u'Foulkes, Toni'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",5/21/07,5/4/15
"u'Foulkes, Toni'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",5/21/07,5/4/15
"u'Foulkes, Toni'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Foulkes, Toni'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",5/18/11,5/4/15
"u'Foulkes, Toni'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Foulkes, Toni'",u'Joint Committee: Education and Child Development; Finance',5/21/07,5/4/15
"u'Foulkes, Toni'",u'Joint Committee: Finance; Housing and Real Estate',5/21/07,5/4/15
"u'Foulkes, Toni'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Foulkes, Toni'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Foulkes, Toni'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Foulkes, Toni'",u'Joint Committee: Housing and Real Estate; Human Relations',5/18/11,5/4/15
"u'Foulkes, Toni'",u'Joint Committee: License and Consumer Protection; Human Relations',5/16/11,5/4/15
"u'Foulkes, Toni'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: Aviation; Finance',3/26/10,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',3/26/10,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',3/26/10,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',3/26/10,5/4/15
"u'Graham, Deborah L.'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",3/26/10,5/4/15
"u'Graham, Deborah L.'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",3/26/10,5/4/15
"u'Graham, Deborah L.'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/18/11,5/4/15
"u'Graham, Deborah L.'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",3/26/10,5/4/15
"u'Graham, Deborah L.'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",3/26/10,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: Education and Child Development; Finance',3/26/10,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: Finance; Health and Environmental Protection',3/26/10,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: Finance; Housing and Real Estate',3/26/10,5/4/15
"u'Graham, Deborah L.'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",3/26/10,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Graham, Deborah L.'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",3/26/10,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',3/26/10,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',3/26/10,5/4/15
"u'Graham, Deborah L.'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",3/26/10,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: License and Consumer Protection; Human Relations',5/16/11,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',3/26/10,5/4/15
"u'Graham, Deborah L.'","u'Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards'",3/26/10,5/4/15
"u'Graham, Deborah L.'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',3/26/10,5/4/15
"u'Graham, Deborah L.'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",3/26/10,5/4/15
"u'Hairston, Leslie A.'",u'Joint Committee: Aviation; Finance',5/21/07,5/4/15
"u'Hairston, Leslie A.'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',5/21/07,5/4/15
"u'Hairston, Leslie A.'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',5/21/07,5/4/15
"u'Hairston, Leslie A.'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',5/21/07,5/4/15
"u'Hairston, Leslie A.'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",5/21/07,5/4/15
"u'Hairston, Leslie A.'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",5/21/07,5/4/15
"u'Hairston, Leslie A.'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Hairston, Leslie A.'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",5/21/07,5/4/15
"u'Hairston, Leslie A.'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Hairston, Leslie A.'",u'Joint Committee: Education and Child Development; Finance',5/21/07,5/4/15
"u'Hairston, Leslie A.'",u'Joint Committee: Finance; Health and Environmental Protection',5/21/07,5/4/15
"u'Hairston, Leslie A.'",u'Joint Committee: Finance; Housing and Real Estate',5/21/07,5/4/15
"u'Hairston, Leslie A.'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Hairston, Leslie A.'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Hairston, Leslie A.'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Hairston, Leslie A.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',5/21/07,5/4/15
"u'Hairston, Leslie A.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',5/21/07,5/4/15
"u'Harris, Michelle A.'",u'Joint Committee: Aviation; Finance',5/21/07,5/4/15
"u'Harris, Michelle A.'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',5/21/07,5/4/15
"u'Harris, Michelle A.'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',5/21/07,5/4/15
"u'Harris, Michelle A.'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',5/21/07,5/4/15
"u'Harris, Michelle A.'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",5/21/07,5/4/15
"u'Harris, Michelle A.'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",5/21/07,5/4/15
"u'Harris, Michelle A.'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/18/11,5/4/15
"u'Harris, Michelle A.'",u'Joint Committee: Education and Child Development; Finance',5/21/07,5/4/15
"u'Harris, Michelle A.'",u'Joint Committee: Finance; Health and Environmental Protection',5/21/07,5/4/15
"u'Harris, Michelle A.'",u'Joint Committee: Finance; Housing and Real Estate',5/21/07,5/4/15
"u'Harris, Michelle A.'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Harris, Michelle A.'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Harris, Michelle A.'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Harris, Michelle A.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',5/21/07,5/4/15
"u'Harris, Michelle A.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',5/21/07,5/4/15
"u'Harris, Michelle A.'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Harris, Michelle A.'",u'Joint Committee: Workforce Development and Audit; Public Safety',5/16/11,5/4/15
"u'Holmes, Natashia'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",2/13/13,5/4/15
"u'Holmes, Natashia'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2/13/13,5/4/15
"u'Holmes, Natashia'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2/13/13,5/4/15
"u'Holmes, Natashia'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2/13/13,5/4/15
"u'Holmes, Natashia'",u'Joint Committee: Finance; Transportation and Public Way',2/5/14,5/4/15
"u'Holmes, Natashia'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2/13/13,5/4/15
"u'Holmes, Natashia'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2/13/13,5/4/15
"u'Holmes, Natashia'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2/13/13,5/4/15
"u'Holmes, Natashia'",u'Joint Committee: Housing and Real Estate; Human Relations',2/13/13,5/4/15
"u'Holmes, Natashia'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",2/13/13,5/4/15
"u'Holmes, Natashia'",u'Joint Committee: License and Consumer Protection; Human Relations',5/16/11,5/4/15
"u'Holmes, Natashia'",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',5/4/07,5/4/15
"u'Holmes, Natashia'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',2/13/13,5/4/15
"u'Holmes, Natashia'",u'Joint Committee: Workforce Development and Audit; Public Safety',5/16/11,5/4/15
"u'Lane, Lona'",u'Joint Committee: Aviation; Finance',5/21/07,5/4/15
"u'Lane, Lona'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',5/21/07,5/4/15
"u'Lane, Lona'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',5/21/07,5/4/15
"u'Lane, Lona'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',5/21/07,5/4/15
"u'Lane, Lona'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",5/21/07,5/4/15
"u'Lane, Lona'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",5/21/07,5/4/15
"u'Lane, Lona'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",5/21/07,5/4/15
"u'Lane, Lona'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",5/21/07,5/4/15
"u'Lane, Lona'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",5/21/07,5/4/15
"u'Lane, Lona'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",5/21/07,5/4/15
"u'Lane, Lona'",u'Joint Committee: Education and Child Development; Finance',5/21/07,5/4/15
