Alderman,Committee,Start,End
"u'Ervin, Jason C.'",u'Committee on Education',1/13/11,5/16/11
"u'Ervin, Jason C.'",u'Committee on Parks and Recreation',1/13/11,5/16/11
"u'Fioretti, Bob'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Fioretti, Bob'",u'Committee on Health',5/21/07,5/16/11
"u'Fioretti, Bob'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Foulkes, Toni'",u'Committee on Buildings',5/21/07,5/16/11
"u'Foulkes, Toni'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Foulkes, Toni'",u'Committee on Parks and Recreation',5/21/07,5/16/11
"u'Foulkes, Toni'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Graham, Deborah L.'",u'Committee on Special Events and Cultural Affairs',3/26/10,5/16/11
"u'Graham, Deborah L.'",u'Committee on Traffic Control and Safety',3/26/10,5/16/11
"u'Hairston, Leslie A.'",u'Committee on Buildings',5/21/07,5/16/11
"u'Hairston, Leslie A.'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Hairston, Leslie A.'",u'Committee on Parks and Recreation',5/21/07,5/16/11
"u'Hairston, Leslie A.'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Hairston, Leslie A.'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Harris, Michelle A.'",u'Committee on Health',5/21/07,5/16/11
"u'Harris, Michelle A.'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Harris, Michelle A.'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Harris, Michelle A.'",u'Committee on Zoning',5/21/07,5/16/11
"u'Harris, Michelle A.'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Jackson, Sandi'",u'Committee on Education',5/21/07,5/16/11
"u'Jackson, Sandi'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Lane, Lona'",u'Committee on Education',5/21/07,5/16/11
"u'Lane, Lona'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Lane, Lona'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Laurino, Margaret'",u'Committee on Buildings',5/21/07,5/16/11
"u'Laurino, Margaret'",u'Committee on Education',5/21/07,5/16/11
"u'Laurino, Margaret'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Laurino, Margaret'",u'Committee on Zoning',5/21/07,5/16/11
"u'Laurino, Margaret'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Levar, Patrick'",u'Committee on Aviation',5/21/07,5/16/11
"u'Levar, Patrick'",u'Committee on Budget and Government Operations',5/21/07,5/16/11
"u'Levar, Patrick'","u'Committee on Committees, Rules and Ethics'",5/21/07,5/16/11
"u'Levar, Patrick'",u'Committee on Finance',5/21/07,5/16/11
"u'Levar, Patrick'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Levar, Patrick'",u'Committee on Special Events and Cultural Affairs',5/21/07,5/16/11
"u'Levar, Patrick'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Levar, Patrick'",u'Committee on Transportation and Public Way',5/21/07,5/16/11
"u'Levar, Patrick'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Lyle, Freddrenna'",u'Committee on Aviation',5/21/07,5/16/11
"u'Lyle, Freddrenna'",u'Committee on Budget and Government Operations',5/21/07,5/16/11
"u'Lyle, Freddrenna'","u'Committee on Committees, Rules and Ethics'",5/21/07,5/16/11
"u'Lyle, Freddrenna'",u'Committee on Finance',5/21/07,5/16/11
"u'Lyle, Freddrenna'",u'Committee on License and Consumer Protection',5/21/07,5/16/11
"u'Lyle, Freddrenna'",u'Committee on Parks and Recreation',5/21/07,5/16/11
"u'Lyle, Freddrenna'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Lyle, Freddrenna'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Maldonado, Roberto'",u'Committee on Education',7/29/09,5/16/11
"u'Maldonado, Roberto'","u'Committee on Energy, Environmental Protection and Public Utilities'",7/29/09,5/16/11
"u'Mell, Richard F.'",u'Committee on Health',5/21/07,5/16/11
"u'Mell, Richard F.'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Mell, Richard F.'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Mitts, Emma'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Mitts, Emma'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Mitts, Emma'",u'Committee on Police and Fire',5/21/07,5/16/11
"u'Mitts, Emma'",u'Committee on Traffic Control and Safety',5/21/07,5/16/11
"u'Mitts, Emma'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Moore, Joseph'","u'Committee on Energy, Environmental Protection and Public Utilities'",5/21/07,5/16/11
"u'Moore, Joseph'",u'Committee on Health',5/21/07,5/16/11
"u'Moore, Joseph'",u'Committee on Historical Landmark Preservation',5/21/07,5/16/11
"u'Moore, Joseph'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Moreno, Proco Joe'","u'Committee on Energy, Environmental Protection and Public Utilities'",3/26/10,5/16/11
"u'Moreno, Proco Joe'",u'Committee on Historical Landmark Preservation',3/26/10,5/16/11
"u'Moreno, Proco Joe'",u'Committee on Parks and Recreation',3/26/10,5/16/11
"u'Moreno, Proco Joe'",u'Committee on Special Events and Cultural Affairs',3/26/10,5/16/11
"u'Munoz, Ricardo'",u'Committee on Education',5/21/07,5/16/11
"u'Munoz, Ricardo'",u'Committee on Parks and Recreation',5/21/07,5/16/11
"u'Munoz, Ricardo'",u'Joint Committee: Finance; Police and Fire',5/21/07,5/16/11
"u'Newsome, Shirley'","u'Committee on Committees, Rules and Ethics'",1/13/11,5/16/11
"u'Newsome, Shirley'","u'Committee on Economic, Capital and Technology Development'",1/13/11,5/16/11
