Alderman,Committee,Start,End,
"u'Doherty, Brian'",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
"u'Doherty, Brian'",u'Committee on Transportation and Public Way',2007-05-21,2011-05-16,
"u'Doherty, Brian'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Dowell, Pat'",u'Committee on Health',2007-05-21,2011-05-16,
"u'Dowell, Pat'",u'Committee on Historical Landmark Preservation',2007-05-21,2011-05-16,
"u'Ervin, Jason C.'",u'Committee on Buildings',2011-01-13,2011-05-16,
"u'Ervin, Jason C.'",u'Committee on Education',2011-01-13,2011-05-16,
"u'Ervin, Jason C.'",u'Committee on Parks and Recreation',2011-01-13,2011-05-16,
"u'Fioretti, Bob'","u'Committee on Energy, Environmental Protection and Public Utilities'",2007-05-21,2011-05-16,
"u'Fioretti, Bob'",u'Committee on Health',2007-05-21,2011-05-16,
"u'Fioretti, Bob'",u'Committee on Special Events and Cultural Affairs',2007-05-21,2011-05-16,
"u'Foulkes, Toni'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Foulkes, Toni'",u'Committee on Historical Landmark Preservation',2007-05-21,2011-05-16,
"u'Foulkes, Toni'",u'Committee on Parks and Recreation',2007-05-21,2011-05-16,
"u'Foulkes, Toni'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Graham, Deborah L.'",u'Committee on Special Events and Cultural Affairs',2010-03-26,2011-05-16,
"u'Graham, Deborah L.'",u'Committee on Traffic Control and Safety',2010-03-26,2011-05-16,
"u'Hairston, Leslie A.'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Hairston, Leslie A.'","u'Committee on Energy, Environmental Protection and Public Utilities'",2007-05-21,2011-05-16,
"u'Hairston, Leslie A.'",u'Committee on Parks and Recreation',2007-05-21,2011-05-16,
"u'Hairston, Leslie A.'",u'Committee on Special Events and Cultural Affairs',2007-05-21,2011-05-16,
"u'Hairston, Leslie A.'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Harris, Michelle A.'",u'Committee on Health',2007-05-21,2011-05-16,
"u'Harris, Michelle A.'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Harris, Michelle A.'",u'Committee on Special Events and Cultural Affairs',2007-05-21,2011-05-16,
"u'Harris, Michelle A.'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Harris, Michelle A.'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Jackson, Sandi'",u'Committee on Education',2007-05-21,2011-05-16,
"u'Jackson, Sandi'",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
"u'Lane, Lona'",u'Committee on Education',2007-05-21,2011-05-16,
"u'Lane, Lona'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Lane, Lona'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Laurino, Margaret'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Laurino, Margaret'",u'Committee on Education',2007-05-21,2011-05-16,
"u'Laurino, Margaret'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Laurino, Margaret'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Laurino, Margaret'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Levar, Patrick'",u'Committee on Aviation',2007-05-21,2011-05-16,
"u'Levar, Patrick'",u'Committee on Budget and Government Operations',2007-05-21,2011-05-16,
"u'Levar, Patrick'","u'Committee on Committees, Rules and Ethics'",2007-05-21,2011-05-16,
"u'Levar, Patrick'",u'Committee on Finance',2007-05-21,2011-05-16,
"u'Levar, Patrick'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Levar, Patrick'",u'Committee on Special Events and Cultural Affairs',2007-05-21,2011-05-16,
"u'Levar, Patrick'",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
"u'Levar, Patrick'",u'Committee on Transportation and Public Way',2007-05-21,2011-05-16,
"u'Levar, Patrick'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Lyle, Freddrenna'",u'Committee on Aviation',2007-05-21,2011-05-16,
"u'Lyle, Freddrenna'",u'Committee on Budget and Government Operations',2007-05-21,2011-05-16,
"u'Lyle, Freddrenna'","u'Committee on Committees, Rules and Ethics'",2007-05-21,2011-05-16,
"u'Lyle, Freddrenna'",u'Committee on Finance',2007-05-21,2011-05-16,
"u'Lyle, Freddrenna'",u'Committee on License and Consumer Protection',2007-05-21,2011-05-16,
"u'Lyle, Freddrenna'",u'Committee on Parks and Recreation',2007-05-21,2011-05-16,
"u'Lyle, Freddrenna'",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
