Alderman,Committee,Start,End,
"u'Foulkes, Toni'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: Aviation; Finance',2010-03-26,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2010-03-26,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2010-03-26,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2010-03-26,2015-05-04,
"u'Graham, Deborah L.'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2010-03-26,2015-05-04,
"u'Graham, Deborah L.'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",2010-03-26,2015-05-04,
"u'Graham, Deborah L.'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2011-05-18,2015-05-04,
"u'Graham, Deborah L.'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2010-03-26,2015-05-04,
"u'Graham, Deborah L.'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2010-03-26,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: Education and Child Development; Finance',2010-03-26,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: Finance; Health and Environmental Protection',2010-03-26,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: Finance; Housing and Real Estate',2010-03-26,2015-05-04,
"u'Graham, Deborah L.'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2010-03-26,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Graham, Deborah L.'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2010-03-26,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2010-03-26,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2010-03-26,2015-05-04,
"u'Graham, Deborah L.'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",2010-03-26,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: License and Consumer Protection; Human Relations',2011-05-16,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',2010-03-26,2015-05-04,
"u'Graham, Deborah L.'","u'Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards'",2010-03-26,2015-05-04,
"u'Graham, Deborah L.'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',2010-03-26,2015-05-04,
"u'Graham, Deborah L.'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",2010-03-26,2015-05-04,
"u'Hairston, Leslie A.'",u'Joint Committee: Aviation; Finance',2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'",u'Joint Committee: Education and Child Development; Finance',2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'",u'Joint Committee: Finance; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'",u'Joint Committee: Finance; Housing and Real Estate',2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Hairston, Leslie A.'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2007-05-21,2015-05-04,
"u'Hairston, Leslie A.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Harris, Michelle A.'",u'Joint Committee: Aviation; Finance',2007-05-21,2015-05-04,
"u'Harris, Michelle A.'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2007-05-21,2015-05-04,
"u'Harris, Michelle A.'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Harris, Michelle A.'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Harris, Michelle A.'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2007-05-21,2015-05-04,
"u'Harris, Michelle A.'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2007-05-21,2015-05-04,
"u'Harris, Michelle A.'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2011-05-18,2015-05-04,
"u'Harris, Michelle A.'",u'Joint Committee: Education and Child Development; Finance',2007-05-21,2015-05-04,
"u'Harris, Michelle A.'",u'Joint Committee: Finance; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Harris, Michelle A.'",u'Joint Committee: Finance; Housing and Real Estate',2007-05-21,2015-05-04,
"u'Harris, Michelle A.'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Harris, Michelle A.'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Harris, Michelle A.'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Harris, Michelle A.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2007-05-21,2015-05-04,
"u'Harris, Michelle A.'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Harris, Michelle A.'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Harris, Michelle A.'",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u'Holmes, Natashia'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",2013-02-13,2015-05-04,
"u'Holmes, Natashia'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2013-02-13,2015-05-04,
"u'Holmes, Natashia'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2013-02-13,2015-05-04,
"u'Holmes, Natashia'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2013-02-13,2015-05-04,
"u'Holmes, Natashia'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Holmes, Natashia'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2013-02-13,2015-05-04,
"u'Holmes, Natashia'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2013-02-13,2015-05-04,
"u'Holmes, Natashia'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2013-02-13,2015-05-04,
"u'Holmes, Natashia'",u'Joint Committee: Housing and Real Estate; Human Relations',2013-02-13,2015-05-04,
"u'Holmes, Natashia'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",2013-02-13,2015-05-04,
"u'Holmes, Natashia'",u'Joint Committee: License and Consumer Protection; Human Relations',2011-05-16,2015-05-04,
"u'Holmes, Natashia'",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',2007-05-04,2015-05-04,
"u'Holmes, Natashia'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',2013-02-13,2015-05-04,
"u'Holmes, Natashia'",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u'Lane, Lona'",u'Joint Committee: Aviation; Finance',2007-05-21,2015-05-04,
"u'Lane, Lona'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2007-05-21,2015-05-04,
"u'Lane, Lona'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Lane, Lona'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Lane, Lona'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2007-05-21,2015-05-04,
"u'Lane, Lona'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",2007-05-21,2015-05-04,
"u'Lane, Lona'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2007-05-21,2015-05-04,
"u'Lane, Lona'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Lane, Lona'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2007-05-21,2015-05-04,
"u'Lane, Lona'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Lane, Lona'",u'Joint Committee: Education and Child Development; Finance',2007-05-21,2015-05-04,
"u'Lane, Lona'",u'Joint Committee: Finance; Housing and Real Estate',2007-05-21,2015-05-04,
"u'Lane, Lona'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Lane, Lona'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Lane, Lona'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Lane, Lona'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2011-05-18,2015-05-04,
"u'Lane, Lona'",u'Joint Committee: Housing and Real Estate; Human Relations',2007-05-21,2015-05-04,
"u'Lane, Lona'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Lane, Lona'",u'Joint Committee: Human Relations; Public Safety',2007-05-21,2015-05-04,
"u'Lane, Lona'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Lane, Lona'",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u'Laurino, Margaret'",u'Joint Committee: Aviation; Finance',2007-05-21,2015-05-04,
"u'Laurino, Margaret'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2007-05-21,2015-05-04,
"u'Laurino, Margaret'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Laurino, Margaret'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Laurino, Margaret'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2007-05-21,2015-05-04,
"u'Laurino, Margaret'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2011-05-18,2015-05-04,
"u'Laurino, Margaret'",u'Joint Committee: Education and Child Development; Finance',2007-05-21,2015-05-04,
"u'Laurino, Margaret'",u'Joint Committee: Finance; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Laurino, Margaret'",u'Joint Committee: Finance; Housing and Real Estate',2007-05-21,2015-05-04,
"u'Laurino, Margaret'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Laurino, Margaret'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Laurino, Margaret'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Laurino, Margaret'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Laurino, Margaret'",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Aviation; Finance',2009-07-29,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2009-07-29,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2009-07-29,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2009-07-29,2015-05-04,
"u'Maldonado, Roberto'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2009-07-29,2015-05-04,
"u'Maldonado, Roberto'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2009-07-29,2015-05-04,
"u'Maldonado, Roberto'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2009-07-29,2015-05-04,
"u'Maldonado, Roberto'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2011-05-18,2015-05-04,
"u'Maldonado, Roberto'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2009-07-29,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Education and Child Development; Finance',2009-07-29,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Finance; Health and Environmental Protection',2009-07-29,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Maldonado, Roberto'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2011-05-18,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2007-05-21,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2009-07-29,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Housing and Real Estate; Human Relations',2009-07-29,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Human Relations; Public Safety',2009-07-29,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: License and Consumer Protection; Human Relations',2011-05-16,2015-05-04,
"u'Maldonado, Roberto'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',2011-05-18,2015-05-04,
"u'Mell, Deborah'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2013-07-24,2015-05-04,
"u'Mell, Deborah'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2013-07-24,2015-05-04,
"u'Mell, Deborah'",u'Joint Committee: Education and Child Development; Finance',2013-07-24,2015-05-04,
"u'Mell, Deborah'",u'Joint Committee: Finance; Housing and Real Estate',2013-07-24,2015-05-04,
"u'Mell, Deborah'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2013-07-24,2015-05-04,
"u'Mell, Deborah'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Mell, Deborah'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2013-07-24,2015-05-04,
"u'Mell, Deborah'",u'Joint Committee: Health and Environmental Protection; Housing and Real Estate',2013-07-24,2015-05-04,
"u'Mell, Deborah'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2013-07-24,2015-05-04,
"u'Mell, Deborah'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2013-07-24,2015-05-04,
"u'Mell, Deborah'","u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards'",2013-07-24,2015-05-04,
"u'Mell, Deborah'",u'Joint Committee: Housing and Real Estate; Human Relations',2013-07-24,2015-05-04,
"u'Mell, Deborah'","u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards'",2013-07-24,2015-05-04,
"u'Mell, Deborah'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',2013-07-24,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Aviation; Finance',2007-05-21,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2007-05-21,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Mitts, Emma'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2007-05-21,2015-05-04,
"u'Mitts, Emma'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2007-05-21,2015-05-04,
"u'Mitts, Emma'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Mitts, Emma'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2007-05-21,2015-05-04,
"u'Mitts, Emma'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Education and Child Development; Finance',2007-05-21,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Finance; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Finance; Housing and Real Estate',2007-05-21,2015-05-04,
"u'Mitts, Emma'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Mitts, Emma'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2007-05-21,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: License and Consumer Protection; Human Relations',2011-05-16,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',2007-05-21,2015-05-04,
"u'Mitts, Emma'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Mitts, Emma'",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: Aviation; Finance',2007-05-21,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2007-05-21,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Moore, Joseph'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2007-05-21,2015-05-04,
"u'Moore, Joseph'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2007-05-21,2015-05-04,
"u'Moore, Joseph'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: Education and Child Development; Finance',2007-05-21,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: Finance; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: Finance; Housing and Real Estate',2007-05-21,2015-05-04,
"u'Moore, Joseph'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Moore, Joseph'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2007-05-21,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: Housing and Real Estate; Human Relations',2007-05-21,2015-05-04,
"u'Moore, Joseph'",u'Joint Committee: License and Consumer Protection; Human Relations',2011-05-16,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: Aviation; Finance',2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: Education and Child Development; Finance',2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: Finance; Health and Environmental Protection',2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: Finance; Housing and Real Estate',2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Moreno, Proco Joe'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: License and Consumer Protection; Human Relations',2011-05-16,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',2010-03-26,2015-05-04,
"u'Moreno, Proco Joe'",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u'Munoz, Ricardo'",u'Joint Committee: Aviation; Finance',2007-05-21,2015-05-04,
"u'Munoz, Ricardo'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2007-05-21,2015-05-04,
"u'Munoz, Ricardo'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Munoz, Ricardo'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2007-05-21,2015-05-04,
"u'Munoz, Ricardo'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2007-05-21,2015-05-04,
"u'Munoz, Ricardo'",u'Joint Committee: Education and Child Development; Finance',2007-05-21,2015-05-04,
"u'Munoz, Ricardo'",u'Joint Committee: Finance; Health and Environmental Protection',2007-05-21,2015-05-04,
"u'Munoz, Ricardo'",u'Joint Committee: Finance; Housing and Real Estate',2007-05-21,2015-05-04,
"u'Munoz, Ricardo'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2007-05-21,2015-05-04,
"u'Munoz, Ricardo'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Munoz, Ricardo'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2007-05-21,2015-05-04,
"u'Munoz, Ricardo'",u'Joint Committee: Housing and Real Estate; Human Relations',2011-05-18,2015-05-04,
"u'Munoz, Ricardo'",u'Joint Committee: License and Consumer Protection; Human Relations',2011-05-16,2015-05-04,
"u'Munoz, Ricardo'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',2011-05-11,2015-05-04,
"u'Osterman, Harry'",u'Joint Committee: Aviation; Finance',2011-05-16,2015-05-04,
"u'Osterman, Harry'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2011-05-16,2015-05-04,
"u'Osterman, Harry'",u'Joint Committee: Education and Child Development; Finance',2011-05-16,2015-05-04,
"u'Osterman, Harry'",u'Joint Committee: Finance; Health and Environmental Protection',2011-05-16,2015-05-04,
"u'Osterman, Harry'",u'Joint Committee: Finance; Housing and Real Estate',2011-05-16,2015-05-04,
"u'Osterman, Harry'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2011-05-16,2015-05-04,
"u'Osterman, Harry'",u'Joint Committee: Finance; Transportation and Public Way',2014-02-05,2015-05-04,
"u'Osterman, Harry'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-04,
"u'Osterman, Harry'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2011-05-18,2015-05-04,
"u'Osterman, Harry'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-04,
"u'Osterman, Harry'",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u'Pawar, Ameya'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2011-05-16,2015-05-04,
"u'Pawar, Ameya'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2011-05-16,2015-05-04,
"u'Pawar, Ameya'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2011-05-18,2015-05-04,
"u'Pawar, Ameya'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2011-05-16,2015-05-04,
"u'Pawar, Ameya'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2011-05-16,2015-05-04,
"u'Pawar, Ameya'","u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation'",2011-05-16,2015-05-04,
"u'Pawar, Ameya'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-04,
"u'Pawar, Ameya'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2011-05-18,2015-05-04,
"u'Pawar, Ameya'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",2011-05-16,2015-05-04,
"u'Pawar, Ameya'",u'Joint Committee: Workforce Development and Audit; Public Safety',2011-05-16,2015-05-04,
"u'Pope, John'",u'Joint Committee: Aviation; Finance',2007-05-21,2015-05-04,
